Rank,Release Group,Worldwide,Domestic,%,Foreign,%
124,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
125,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
126,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
127,¡A todo tren! Destino Asturias,"$9,811,489",-,-,"$9,811,489",100%
128,Clifford the Big Red Dog,"$9,795,775","$9,795,775",100%,-,-
129,The Soul,"$9,600,000",-,-,"$9,600,000",100%
130,Black Box,"$9,411,289",-,-,"$9,411,289",100%
131,School of Magical Animals,"$9,299,125",-,-,"$9,299,125",100%
132,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
133,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
134,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
135,The Wolf and the Lion,"$8,574,897",-,-,"$8,574,897",100%
136,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
137,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
138,Baragaki: Unbroken Samurai,"$8,404,433",-,-,"$8,404,433",100%
139,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
140,The Protege,"$8,231,178","$7,446,823",90.5%,"$784,355",9.5%
141,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
142,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
143,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
144,Ainbo,"$7,877,742",-,-,"$7,877,742",100%
145,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
146,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
147,The Medium,"$7,592,993",-,-,"$7,592,993",100%
148,Dad,"$7,544,581",-,-,"$7,544,581",100%
149,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
150,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
151,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
152,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
153,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
154,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
155,Extinct,"$6,929,315",-,-,"$6,929,315",100%
156,Are You Lonesome Tonight?,"$6,902,687",-,-,"$6,902,687",100%
157,Judas and the Black Messiah,"$6,798,511","$5,446,607",80.1%,"$1,351,904",19.9%
158,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
159,Seobok,"$6,778,823",-,-,"$6,778,823",100%
160,Silver Skates,"$6,727,993",-,-,"$6,727,993",100%
161,Copshop,"$6,657,542","$5,213,243",78.3%,"$1,444,299",21.7%
162,Dream Horse,"$6,649,673","$2,913,328",43.8%,"$3,736,345",56.2%
163,Mamorarenakatta mono tachi e,"$6,641,284",-,-,"$6,641,284",100%
164,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
165,Sword Art Online: Progressive - Aria of a Starless Night,"$6,398,069",-,-,"$6,398,069",100%
166,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
167,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
168,Penguin Bloom,"$6,158,751",-,-,"$6,158,751",100%
169,The Forgotten Battle,"$6,000,546",-,-,"$6,000,546",100%
170,The Laws of the Universe: The Age of Elohim,"$5,929,438","$14,135",0.2%,"$5,915,303",99.8%
171,The Blood of Wolves,"$5,908,700",-,-,"$5,908,700",100%
172,The Ice Road,"$5,881,567",-,-,"$5,881,567",100%
173,Me contro te - Il mistero della scuola incantata,"$5,879,431",-,-,"$5,879,431",100%
174,Chernobyl: Abyss,"$5,693,002",-,-,"$5,693,002",100%
175,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
176,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
177,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
178,Miracle,"$5,544,120",-,-,"$5,544,120",100%
179,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
180,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
181,"And, the Baton Was Passed","$5,400,000",-,-,"$5,400,000",100%
182,Rebels @ School,"$5,373,010",-,-,"$5,373,010",100%
183,Roadrunner: A Film About Anthony Bourdain,"$5,323,350","$5,249,970",98.6%,"$73,380",1.4%
184,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
185,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
186,Poly,"$5,236,154",-,-,"$5,236,154",100%
187,A Morning of Farewell,"$5,075,369",-,-,"$5,075,369",100%
188,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
189,Love Story,"$5,019,348","$971,000",19.3%,"$4,048,348",80.7%
190,Family Swap,"$4,926,440",-,-,"$4,926,440",100%
191,Red,"$4,920,261",-,-,"$4,920,261",100%
192,Zola,"$4,913,306","$4,844,399",98.6%,"$68,907",1.4%
193,Palma,"$4,887,871",-,-,"$4,887,871",100%
194,Parallel Mothers,"$4,835,807",-,-,"$4,835,807",100%
195,Free! the Final Stroke,"$4,755,182",-,-,"$4,755,182",100%
196,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
197,I Don't Have Any Money Left in My Retirement Account,"$4,613,607",-,-,"$4,613,607",100%
198,Wrong Turn,"$4,561,737","$1,251,184",27.4%,"$3,310,553",72.6%
199,Lost Illusions,"$4,543,819",-,-,"$4,543,819",100%
200,Separation,"$4,509,143","$4,509,143",100%,-,-
